STT,MaHS,lop,TX1,TX2,TX3,GK,CK
1,24008611,10N,9,8,9,4.8,3
2,51000032,10N,6,8,9,7,7.8
3,51000005,10N,5.5,8.5,7,5.5,7.5
4,51000021,10N,7,8.5,9,6.8,8
5,51000013,10N,8.5,10,9,6,8.3
6,51000003,10N,4.5,5,8,5.3,6.5
7,51000001,10N,7.5,8,9.5,6.3,7.3
8,51000011,10N,6.5,7,7.5,5.6,6.4
9,51000007,10N,6,9,8,4.9,7
10,51000010,10N,6,7,10,7.5,7
11,51000018,10N,5.5,8,9.5,6.5,7
12,51000028,10N,7.5,9.5,8.5,7.4,8.5
13,51000020,10N,8.5,8.5,9.5,5.8,8
14,51000034,10N,7,6,9,6.5,6.9
15,51000014,10N,7.5,6,4,2.7,3.1
16,51000019,10N,7.5,6,7.5,5.5,5.8
17,51000006,10N,7.5,7,9,5.9,6.6
18,51000033,10N,6.5,7,7.5,5.9,6.9
19,51000024,10N,4.5,5,8,6.8,6.6
20,51000042,10N,7,9.5,9,7,7.6
21,51000004,10N,9,7,9,7,7.9
22,51000026,10N,9.5,10,10,6.8,8.3
23,51000039,10N,6.5,7,9.5,5.3,7.6
24,51000002,10N,7.5,7.5,10,7.3,8.8
25,51000027,10N,8,7,9.5,6.6,7.3
26,51000008,10N,7,9,8.5,6.3,7.3
27,51000012,10N,8.5,10,9.5,,6.1
28,51000040,10N,7.5,10,9.5,4.9,8.3
29,51000029,10N,8.5,10,10,7.5,8.8
30,51000046,10N,7.5,8.5,9.5,6.4,9
31,51000038,10N,6.5,5,7.5,5.9,6.6
32,51000025,10N,7,8,8.5,6.8,8
33,51000035,10N,8.5,8.5,9,6.3,7.4
34,51000022,10N,7,10,9.5,6.5,8.5
35,51000017,10N,6,7,9,8.4,7.5
36,51000030,10N,9.5,10,10,3,2.5
37,51000043,10N,8.5,8,9.5,6.5,7.5
38,51000009,10N,8,5,10,7.5,8.8
39,51000031,10N,5.5,6,9.5,5.3,8.3
40,51000044,10N,7.5,7,9.5,7,8.4
41,51000016,10N,9.5,9,10,7.3,9
42,51000015,10N,8.5,10,10,,8.5
43,51000023,10N,6,8,7.5,6.5,9.2
44,51000036,10N,7,7.5,9.5,5.8,9.3
45,51000048,10N,8,6.5,9.5,7,7.8
46,51000037,10N,7,5,7.5,5.3,7
47,51000041,10N,6,7,9.5,5.3,7.9
48,51000049,10N,7.5,6,9,6.8,9.3
49,51000047,10N,9.5,9,10,6,9
50,51000051,11A1,7.6,9,8,7,8
51,51000050,11A1,9.2,10,9,8.5,8.8
52,51000045,11A1,7.6,9,8,8.3,9.3
53,51000055,11A1,9.2,8,9,8.3,8.8
54,51000053,11A1,8,7,9,8.5,9.5
55,51000054,11A1,8.8,9,8,9,9.8
56,51000057,11A1,7.6,10,9,8.8,8.8
57,51000058,11A1,7.2,9,9,8.8,8.8
58,51000052,11A1,7.6,10,9,8.3,7.8
59,51000060,11A1,8.4,10,10,9.3,9.5
60,51000063,11A1,7.6,10,8,8,8
61,51000056,11A1,8.4,9,9,8.1,9.8
62,51000059,11A1,7.6,10,8,8.3,9.5
63,51000062,11A1,8.4,8,9,8.3,9.3
64,51000061,11A1,8.8,10,9,8,8.8
65,51000065,11A1,8.8,7,8,7.8,9.3
66,51000067,11A1,7.6,9,8,8.5,9.3
67,51000064,11A1,9.6,7,10,8.8,9
68,51000066,11A1,8.4,8,9,8.3,8.3
69,51000071,11A1,8.4,10,8,8.5,9.8
70,51000068,11A1,6.4,8,9,8.8,8.8
71,51000070,11A1,7.6,7,8,8.5,8.5
72,51000079,11A1,9.2,10,9,8.8,9
73,51000080,11A1,8.4,9,9,7.9,9
74,51000073,11A1,8.8,7,9,7.5,9.8
75,51000081,11A1,9.6,10,8,9.5,9.8
76,51000069,11A1,7.2,7,8,9.3,8
77,51000072,11A1,6,9,8,8.3,7
78,51000074,11A1,8,7,9,8.3,9.3
79,51000077,11A1,8,8,8,8,7.4
80,51000076,11A1,8,8,8,8,8.8
81,51000083,11A1,6.4,8,8,8.5,8
82,51000078,11A1,7,8,8,7.9,8.8
83,51000082,11A1,7.6,8,9,8.5,9.5
84,51000085,11A1,8.4,9,10,8.6,8
85,51000075,11A1,8.8,10,8,8.8,8
86,51000087,11A1,6.8,8,9,8.8,8.3
87,51000086,11A1,4.4,6,9,8.3,8.5
88,51000093,11A2,7.2,8,10,8.4,8.3
89,51000090,11A2,8,7,9,7.8,7.5
90,51000089,11A2,8.4,10,7,9.3,9.5
91,51000088,11A2,8.8,8,9,8.3,7.8
92,51000095,11A2,7.6,8,8,9,8.8
93,51000094,11A2,8,9,9,7.8,8.5
94,51000092,11A2,6.4,8,9,6.4,8
95,51000091,11A2,7.2,10,9,8.8,8.3
96,51000097,11A2,7.6,10,8,8.8,8
97,51000096,11A2,7.6,9,9,8.8,8.5
98,51000099,11A2,7.2,8,10,8,8.5
99,51000100,11A2,8.4,6,10,8,9
100,51000098,11A2,8.4,9,7,8.3,9.3
101,51000101,11A2,7.2,8,10,7.6,9
102,51000102,11A2,7.2,6,5,7.3,6.5
103,51000105,11A2,7.2,8,10,7.8,9.3
104,51000103,11A2,7.2,9,9,9,8.3
105,51000112,11A2,7.2,8,8,7.8,8.3
106,51000104,11A2,8.4,9,8,7.5,9.3
107,51000108,11A2,7.2,9,8,7.8,8.8
108,51000107,11A2,6.8,8,9,8.3,7.8
109,51000106,11A2,7.6,9,10,8.5,9.3
110,51000109,11A2,8.8,7,9,8.3,8.3
111,51000115,11A2,8.8,9,9,8.8,9.3
112,51000113,11A2,9.6,8,10,8,9.8
113,51000110,11A2,6.8,9,8,8.6,9.3
114,51000117,11A2,8.4,9,7,8.8,7.8
115,51000111,11A2,8.8,8,8,7.9,8
116,51000114,11A2,8.8,10,10,8.5,9.5
117,51000120,11A2,7.2,9,9,9,8.5
118,51000119,11A2,8.4,9,9,8.5,9
119,51000121,11A2,7.6,8,9,8,8.3
120,51000123,11A2,8.4,8,9,8,9
121,51000116,11A2,8.8,8,7,7.3,8.8
122,51000118,11A2,9.6,9,8,7.8,8.5
123,51000127,11A2,7.6,8,7,7.8,9
