STT,MaHS,lop,Toan,Van,Ly,Hoa,Ngoaingu,Su,Tin,Sinh,Dia
1,24008611,11A1,7.8,8.8,8,8,7.6,8,8.3,8.2,8
2,51000032,11A1,,,4.5,8.3,8,6,,8.6,6.2
3,51000005,11A1,4.3,5.8,5.5,5,4,5,4,5.2,4.8
4,51000021,11A1,4.8,5,,,,,2.3,4.4,4.5
5,51000013,11A1,8.3,7.5,,,4.4,,7.8,5.8,6
6,51000003,11A1,,,5.8,7.5,4.4,3,,7.2,6.8
7,51000001,11A1,,,,,,,3.3,2.2,5.8
8,51000011,11A1,6.3,8.8,,,8.8,,5.3,5,6.5
9,51000007,11A1,,,3.5,5.5,2.2,3.8,,5.6,4.5
10,51000010,11A1,7.5,8.5,,,5.2,,3.3,6.6,7
11,51000018,11A1,9,9,9,10,9.5,10,8.8,9,10
12,51000028,11A1,9,9,9,10,9.5,10,8.8,9,10
13,51000020,11A1,9,9,9,10,9.5,10,8.8,9,10
14,51000034,11A1,9,9,9,10,9.5,10,8.8,9,10
15,51000014,11A1,,,5,7,3.6,4.8,,7,6.3
16,51000019,11A1,,,6.8,8,8.8,6.3,,7.8,7.3
17,51000006,11A1,,,2.8,3.8,2.8,2.8,,6,4.8
18,51000033,11A1,6.8,8.8,,,6.6,,6.3,5.8,6.5
19,51000024,11A1,6.3,6,,,7.2,,4,6.8,6.8
20,51000042,11A1,7.5,,,,,,3.3,,4.3
21,51000004,11A1,4.3,,,,,,2.8,2.2,3.8
22,51000026,11A1,,,6.5,7.3,3.4,4.5,,7.6,5.8
23,51000039,11A1,7,8,,,5,,4.8,6.4,6.5
24,51000002,11A1,6.5,8,,,5.2,,4.8,5.2,6.8
25,51000027,11A1,7.8,8,,,7.8,,6.8,7.6,7.3
26,51000008,11A1,,,4.3,9,8.8,4.3,,7.4,5
27,51000012,11A1,6.8,7.8,,,6.2,,3,5.4,7
28,51000040,11A1,,,6.8,6.8,5.4,3.8,,7.4,6.5
29,51000029,11A1,,,6.5,6.8,6.6,4.5,,8.2,6.8
30,51000046,11A1,6.5,8,,,7.2,,4,6.8,7.5
31,51000038,11A1,,,3.3,6,4.8,4,,6,6.3
